run_time,valid_time,variable,value
2026-07-24T21:00:00,2026-07-25T15:00,temperature_2m,27.5
2026-07-24T21:00:00,2026-07-25T16:00,temperature_2m,27.56
2026-07-24T21:00:00,2026-07-25T17:00,temperature_2m,27.22
2026-07-24T21:00:00,2026-07-25T18:00,temperature_2m,26.46
2026-07-24T21:00:00,2026-07-25T19:00,temperature_2m,25.42
2026-07-24T21:00:00,2026-07-25T20:00,temperature_2m,24.17
2026-07-24T21:00:00,2026-07-25T21:00,temperature_2m,22.69
2026-07-24T21:00:00,2026-07-25T22:00,temperature_2m,21.38
2026-07-24T21:00:00,2026-07-25T23:00,temperature_2m,20.49
2026-07-24T21:00:00,2026-07-26T00:00,temperature_2m,19.92
2026-07-24T21:00:00,2026-07-26T01:00,temperature_2m,19.96
2026-07-24T21:00:00,2026-07-26T02:00,temperature_2m,19.88
2026-07-24T21:00:00,2026-07-26T03:00,temperature_2m,19.16
2026-07-24T21:00:00,2026-07-26T04:00,temperature_2m,18.46
2026-07-24T21:00:00,2026-07-26T05:00,temperature_2m,18.19
2026-07-24T21:00:00,2026-07-26T06:00,temperature_2m,19.12
2026-07-24T21:00:00,2026-07-26T07:00,temperature_2m,21.03
2026-07-24T21:00:00,2026-07-26T08:00,temperature_2m,22.58
2026-07-24T21:00:00,2026-07-26T09:00,temperature_2m,22.74
2026-07-24T21:00:00,2026-07-26T10:00,temperature_2m,21.86
2026-07-24T21:00:00,2026-07-26T11:00,temperature_2m,21.1
2026-07-24T21:00:00,2026-07-26T12:00,temperature_2m,20.99
2026-07-24T21:00:00,2026-07-26T13:00,temperature_2m,21.23
2026-07-24T21:00:00,2026-07-26T14:00,temperature_2m,21.48
2026-07-24T21:00:00,2026-07-26T15:00,temperature_2m,21.42
2026-07-24T21:00:00,2026-07-26T16:00,temperature_2m,21.35
2026-07-24T21:00:00,2026-07-26T17:00,temperature_2m,21.36
2026-07-24T21:00:00,2026-07-26T18:00,temperature_2m,21.07
2026-07-24T21:00:00,2026-07-26T19:00,temperature_2m,20.61
2026-07-24T21:00:00,2026-07-26T20:00,temperature_2m,20.1
2026-07-24T21:00:00,2026-07-26T21:00,temperature_2m,19.47
2026-07-24T21:00:00,2026-07-24T21:00,relative_humidity_2m,50.36
2026-07-24T21:00:00,2026-07-24T22:00,relative_humidity_2m,56.36
2026-07-24T21:00:00,2026-07-24T23:00,relative_humidity_2m,60.85
2026-07-24T21:00:00,2026-07-25T00:00,relative_humidity_2m,62.97
2026-07-24T21:00:00,2026-07-25T01:00,relative_humidity_2m,65.26
2026-07-24T21:00:00,2026-07-25T02:00,relative_humidity_2m,66.23
2026-07-24T21:00:00,2026-07-25T03:00,relative_humidity_2m,67.06
2026-07-24T21:00:00,2026-07-25T04:00,relative_humidity_2m,68.43
2026-07-24T21:00:00,2026-07-25T05:00,relative_humidity_2m,68.04
2026-07-24T21:00:00,2026-07-25T06:00,relative_humidity_2m,68.74
2026-07-24T21:00:00,2026-07-25T07:00,relative_humidity_2m,67.85
2026-07-24T21:00:00,2026-07-25T08:00,relative_humidity_2m,64.45
2026-07-24T21:00:00,2026-07-25T09:00,relative_humidity_2m,57.73
2026-07-24T21:00:00,2026-07-25T10:00,relative_humidity_2m,50.86
2026-07-24T21:00:00,2026-07-25T11:00,relative_humidity_2m,46.97
2026-07-24T21:00:00,2026-07-25T12:00,relative_humidity_2m,44.45
2026-07-24T21:00:00,2026-07-25T13:00,relative_humidity_2m,42.47
2026-07-24T21:00:00,2026-07-25T14:00,relative_humidity_2m,41.43
2026-07-24T21:00:00,2026-07-25T15:00,relative_humidity_2m,40.55
2026-07-24T21:00:00,2026-07-25T16:00,relative_humidity_2m,40.28
2026-07-24T21:00:00,2026-07-25T17:00,relative_humidity_2m,41.03
2026-07-24T21:00:00,2026-07-25T18:00,relative_humidity_2m,43.63
2026-07-24T21:00:00,2026-07-25T19:00,relative_humidity_2m,47.27
2026-07-24T21:00:00,2026-07-25T20:00,relative_humidity_2m,53.04
2026-07-24T21:00:00,2026-07-25T21:00,relative_humidity_2m,59.68
2026-07-24T21:00:00,2026-07-25T22:00,relative_humidity_2m,65.52
2026-07-24T21:00:00,2026-07-25T23:00,relative_humidity_2m,70.15
2026-07-24T21:00:00,2026-07-26T00:00,relative_humidity_2m,72.96
2026-07-24T21:00:00,2026-07-26T01:00,relative_humidity_2m,72.98
2026-07-24T21:00:00,2026-07-26T02:00,relative_humidity_2m,72.77
2026-07-24T21:00:00,2026-07-26T03:00,relative_humidity_2m,74.18
2026-07-24T21:00:00,2026-07-26T04:00,relative_humidity_2m,75.67
2026-07-24T21:00:00,2026-07-26T05:00,relative_humidity_2m,77.07
2026-07-24T21:00:00,2026-07-26T06:00,relative_humidity_2m,73.27
2026-07-24T21:00:00,2026-07-26T07:00,relative_humidity_2m,66.86
2026-07-24T21:00:00,2026-07-26T08:00,relative_humidity_2m,63.16
2026-07-24T21:00:00,2026-07-26T09:00,relative_humidity_2m,67.87
2026-07-24T21:00:00,2026-07-26T10:00,relative_humidity_2m,78.17
2026-07-24T21:00:00,2026-07-26T11:00,relative_humidity_2m,87.73
2026-07-24T21:00:00,2026-07-26T12:00,relative_humidity_2m,90.01
2026-07-24T21:00:00,2026-07-26T13:00,relative_humidity_2m,88.52
2026-07-24T21:00:00,2026-07-26T14:00,relative_humidity_2m,88.34
2026-07-24T21:00:00,2026-07-26T15:00,relative_humidity_2m,88.23
2026-07-24T21:00:00,2026-07-26T16:00,relative_humidity_2m,89.28
2026-07-24T21:00:00,2026-07-26T17:00,relative_humidity_2m,88.59
2026-07-24T21:00:00,2026-07-26T18:00,relative_humidity_2m,89.58
2026-07-24T21:00:00,2026-07-26T19:00,relative_humidity_2m,91.61
2026-07-24T21:00:00,2026-07-26T20:00,relative_humidity_2m,93.51
2026-07-24T21:00:00,2026-07-26T21:00,relative_humidity_2m,95.29
2026-07-24T21:00:00,2026-07-24T21:00,wind_speed_10m,4.54
2026-07-24T21:00:00,2026-07-24T22:00,wind_speed_10m,4.18
2026-07-24T21:00:00,2026-07-24T23:00,wind_speed_10m,4.82
2026-07-24T21:00:00,2026-07-25T00:00,wind_speed_10m,5.73
2026-07-24T21:00:00,2026-07-25T01:00,wind_speed_10m,6.92
2026-07-24T21:00:00,2026-07-25T02:00,wind_speed_10m,6.75
2026-07-24T21:00:00,2026-07-25T03:00,wind_speed_10m,6.63
2026-07-24T21:00:00,2026-07-25T04:00,wind_speed_10m,6.92
2026-07-24T21:00:00,2026-07-25T05:00,wind_speed_10m,6.76
2026-07-24T21:00:00,2026-07-25T06:00,wind_speed_10m,6.34
2026-07-24T21:00:00,2026-07-25T07:00,wind_speed_10m,5.01
2026-07-24T21:00:00,2026-07-25T08:00,wind_speed_10m,3.35
2026-07-24T21:00:00,2026-07-25T09:00,wind_speed_10m,3.23
2026-07-24T21:00:00,2026-07-25T10:00,wind_speed_10m,5.87
2026-07-24T21:00:00,2026-07-25T11:00,wind_speed_10m,7.99
2026-07-24T21:00:00,2026-07-25T12:00,wind_speed_10m,9.77
